gpuaddr,useraddr,size,id,flags,type,usage,sglen
0x8c7e6000,0x8c7e6000,4096,49938,----pY,gpumem,texture,1
0x8c7e8000,0x8c7e8000,4096,49937,----pY,gpumem,texture,1
0x8c7ea000,0x8c7ea000,4096,49936,----pY,gpumem,texture,1
0x8c7ec000,0x8c7ec000,4096,49935,----pY,gpumem,texture,1
0x8c7ee000,0x8c7ee000,4096,49934,----pY,gpumem,texture,1
0x8c7f0000,0x8c7f0000,4096,49933,----pY,gpumem,texture,1
0x8c7f2000,0x8c7f2000,4096,49932,----pY,gpumem,texture,1
0x8c7f4000,0x8c7f4000,4096,49931,----pY,gpumem,texture,1
0x8c7f6000,0x8c7f6000,4096,49930,----pY,gpumem,texture,1
0x8c7f8000,0x8c7f8000,4096,49929,----pY,gpumem,texture,1
0x8c7fa000,0x8c7fa000,4096,49928,----pY,gpumem,texture,1
0x8c7fc000,0x8c7fc000,4096,49927,----pY,gpumem,texture,1
0x8c7fe000,0x8c7fe000,4096,49926,----pY,gpumem,texture,1
0x8c840000,0x8c840000,4096,49925,----pY,gpumem,texture,1
0x8c842000,0x8c842000,4096,49924,----pY,gpumem,texture,1
0x8c844000,0x8c844000,4096,49923,----pY,gpumem,texture,1
0x8c846000,0x8c846000,4096,49922,----pY,gpumem,texture,1
0x8c848000,0x8c848000,4096,49921,----pY,gpumem,texture,1
0x8c84a000,0x8c84a000,4096,49920,----pY,gpumem,texture,1
0x8c84c000,0x8c84c000,4096,49919,----pY,gpumem,texture,1
0x8c84e000,0x8c84e000,4096,49918,----pY,gpumem,texture,1
0x8c850000,0x8c850000,4096,49917,----pY,gpumem,texture,1
0x8c852000,0x8c852000,4096,49916,----pY,gpumem,texture,1
0x8c854000,0x8c854000,4096,49915,----pY,gpumem,texture,1
0x8c856000,0x8c856000,4096,49914,----pY,gpumem,texture,1
0x8c858000,0x8c858000,4096,49913,----pY,gpumem,texture,1
0x8c85a000,0x8c85a000,4096,49912,----pY,gpumem,texture,1
0x8c85c000,0x8c85c000,4096,49911,----pY,gpumem,texture,1
0x8c85e000,0x8c85e000,4096,49910,----pY,gpumem,texture,1
0x8c860000,0x8c860000,4096,49909,----pY,gpumem,texture,1
0x8c862000,0x8c862000,4096,49908,----pY,gpumem,texture,1
0x8c864000,0x8c864000,4096,49907,----pY,gpumem,texture,1
0x8c866000,0x8c866000,4096,49906,----pY,gpumem,texture,1
0x8c868000,0x8c868000,4096,49905,----pY,gpumem,texture,1
0x8c86a000,0x8c86a000,4096,49904,----pY,gpumem,texture,1
0x8c86c000,0x8c86c000,4096,49903,----pY,gpumem,texture,1
0x8c86e000,0x8c86e000,4096,49902,----pY,gpumem,texture,1
0x8c870000,0x8c870000,4096,49901,----pY,gpumem,texture,1
0x8c872000,0x8c872000,4096,49900,----pY,gpumem,texture,1
0x8c874000,0x8c874000,4096,49899,----pY,gpumem,texture,1
0x8c876000,0x8c876000,4096,49898,----pY,gpumem,texture,1
0x8c878000,0x8c878000,4096,49897,----pY,gpumem,texture,1
0x8c87a000,0x8c87a000,4096,49896,----pY,gpumem,texture,1
0x8c87c000,0x8c87c000,4096,49895,----pY,gpumem,texture,1
0x8c87e000,0x8c87e000,4096,49894,----pY,gpumem,texture,1
0x8c8c0000,0x8c8c0000,4096,49893,----pY,gpumem,texture,1
0x8c8c2000,0x8c8c2000,4096,49892,----pY,gpumem,texture,1
0x8c8c4000,0x8c8c4000,4096,49891,----pY,gpumem,texture,1
0x8c8c6000,0x8c8c6000,4096,49890,----pY,gpumem,texture,1
0x8c8c8000,0x8c8c8000,4096,49889,----pY,gpumem,texture,1
0x8c8ca000,0x8c8ca000,4096,49888,----pY,gpumem,texture,1
0x8c8cc000,0x8c8cc000,4096,49887,----pY,gpumem,texture,1
0x8c8ce000,0x8c8ce000,4096,49886,----pY,gpumem,texture,1
0x8c8d0000,0x8c8d0000,4096,49885,----pY,gpumem,texture,1
0x8c8d2000,0x8c8d2000,4096,49884,----pY,gpumem,texture,1
0x8c8d4000,0x8c8d4000,4096,49883,----pY,gpumem,texture,1
0x8c8d6000,0x8c8d6000,4096,49882,----pY,gpumem,texture,1
0x8c8d8000,0x8c8d8000,4096,49881,----pY,gpumem,texture,1
0x8c8da000,0x8c8da000,4096,49880,----pY,gpumem,texture,1
0x8c8dc000,0x8c8dc000,4096,49879,----pY,gpumem,texture,1
0x8c8de000,0x8c8de000,4096,49878,----pY,gpumem,texture,1
0x8c8e0000,0x8c8e0000,4096,49877,----pY,gpumem,texture,1
0x8c8e2000,0x8c8e2000,4096,49876,----pY,gpumem,texture,1
0x8c8e4000,0x8c8e4000,4096,49875,----pY,gpumem,texture,1
0x8c8e6000,0x8c8e6000,4096,49874,----pY,gpumem,texture,1
0x8c8e8000,0x8c8e8000,4096,49873,----pY,gpumem,texture,1
0x8c8ea000,0x8c8ea000,4096,49872,----pY,gpumem,texture,1
0x8c8ec000,0x8c8ec000,4096,49871,----pY,gpumem,texture,1
0x8c8ee000,0x8c8ee000,4096,49870,----pY,gpumem,texture,1
0x8c8f0000,0x8c8f0000,4096,49869,----pY,gpumem,texture,1
0x8c8f2000,0x8c8f2000,4096,49868,----pY,gpumem,texture,1
0x8c8f4000,0x8c8f4000,4096,49867,----pY,gpumem,texture,1
0x8c8f6000,0x8c8f6000,4096,49866,----pY,gpumem,texture,1
0x8c8f8000,0x8c8f8000,4096,49865,----pY,gpumem,texture,1
0x8c8fa000,0x8c8fa000,4096,49864,----pY,gpumem,texture,1
0x8c8fc000,0x8c8fc000,4096,49863,----pY,gpumem,texture,1
0x8c8fe000,0x8c8fe000,4096,49862,----pY,gpumem,texture,1
0x8c900000,0x8c900000,4096,49861,----pY,gpumem,texture,1
0x8c902000,0x8c902000,4096,49860,----pY,gpumem,texture,1
0x8c904000,0x8c904000,4096,49859,----pY,gpumem,texture,1
0x8c906000,0x8c906000,4096,49858,----pY,gpumem,texture,1
0x8c908000,0x8c908000,4096,49857,----pY,gpumem,texture,1
0x8c90a000,0x8c90a000,4096,49856,----pY,gpumem,texture,1
0x8c90c000,0x8c90c000,4096,49855,----pY,gpumem,texture,1
0x8c90e000,0x8c90e000,4096,49854,----pY,gpumem,texture,1
0x8c910000,0x8c910000,4096,49853,----pY,gpumem,texture,1
0x8c912000,0x8c912000,4096,49852,----pY,gpumem,texture,1
0x8c914000,0x8c914000,4096,49851,----pY,gpumem,texture,1
0x8c916000,0x8c916000,4096,49850,----pY,gpumem,texture,1
0x8c918000,0x8c918000,4096,49849,----pY,gpumem,texture,1
0x8c91a000,0x8c91a000,4096,49848,----pY,gpumem,texture,1
0x8c91c000,0x8c91c000,4096,49847,----pY,gpumem,texture,1
0x8c91e000,0x8c91e000,4096,49846,----pY,gpumem,texture,1
0x8c920000,0x8c920000,4096,49845,----pY,gpumem,texture,1
0x8c922000,0x8c922000,4096,49844,----pY,gpumem,texture,1
0x8c924000,0x8c924000,4096,49843,----pY,gpumem,texture,1
0x8c926000,0x8c926000,4096,49842,----pY,gpumem,texture,1
0x8c928000,0x8c928000,4096,49841,----pY,gpumem,texture,1
0x8c92a000,0x8c92a000,4096,49840,----pY,gpumem,texture,1
0x8c92c000,0x8c92c000,4096,49839,----pY,gpumem,texture,1
0x8c92e000,0x8c92e000,4096,49838,----pY,gpumem,texture,1
0x8c930000,0x8c930000,4096,49837,----pY,gpumem,texture,1
0x8c932000,0x8c932000,4096,49836,----pY,gpumem,texture,1
0x8c934000,0x8c934000,4096,49835,----pY,gpumem,texture,1
0x8c936000,0x8c936000,4096,49834,----pY,gpumem,texture,1
0x8c938000,0x8c938000,4096,49833,----pY,gpumem,texture,1
0x8c93a000,0x8c93a000,4096,49832,----pY,gpumem,texture,1
0x8c93c000,0x8c93c000,4096,49831,----pY,gpumem,texture,1
0x8c93e000,0x8c93e000,4096,49830,----pY,gpumem,texture,1
0x8c980000,0x8c980000,4096,49829,----pY,gpumem,texture,1
0x8c982000,0x8c982000,4096,49828,----pY,gpumem,texture,1
0x8c984000,0x8c984000,4096,49827,----pY,gpumem,texture,1
0x8c986000,0x8c986000,4096,49826,----pY,gpumem,texture,1
0x8c988000,0x8c988000,4096,49825,----pY,gpumem,texture,1
0x8c98a000,0x8c98a000,4096,49824,----pY,gpumem,texture,1
0x8c98c000,0x8c98c000,4096,49823,----pY,gpumem,texture,1
0x8c98e000,0x8c98e000,4096,49822,----pY,gpumem,texture,1
0x8c990000,0x8c990000,4096,49821,----pY,gpumem,texture,1
0x8c992000,0x8c992000,4096,49820,----pY,gpumem,texture,1
0x8c994000,0x8c994000,4096,49819,----pY,gpumem,texture,1
0x8c996000,0x8c996000,4096,49818,----pY,gpumem,texture,1
0x8c998000,0x8c998000,4096,49817,----pY,gpumem,texture,1
0x8c99a000,0x8c99a000,4096,49816,----pY,gpumem,texture,1
0x8c99c000,0x8c99c000,4096,49815,----pY,gpumem,texture,1
0x8c99e000,0x8c99e000,4096,49814,----pY,gpumem,texture,1
0x8c9a0000,0x8c9a0000,4096,49813,----pY,gpumem,texture,1
0x8c9a2000,0x8c9a2000,4096,49812,----pY,gpumem,texture,1
0x8c9a4000,0x8c9a4000,4096,49811,----pY,gpumem,texture,1
0x8c9a6000,0x8c9a6000,4096,49810,----pY,gpumem,texture,1
0x8c9a8000,0x8c9a8000,4096,49809,----pY,gpumem,texture,1
0x8c9aa000,0x8c9aa000,4096,49808,----pY,gpumem,texture,1
0x8c9ac000,0x8c9ac000,4096,49807,----pY,gpumem,texture,1
0x8c9ae000,0x8c9ae000,4096,49806,----pY,gpumem,texture,1
0x8c9b0000,0x8c9b0000,4096,49805,----pY,gpumem,texture,1
0x8c9b2000,0x8c9b2000,4096,49804,----pY,gpumem,texture,1
0x8c9b4000,0x8c9b4000,4096,49803,----pY,gpumem,texture,1
0x8c9b6000,0x8c9b6000,4096,49802,----pY,gpumem,texture,1
0x8c9b8000,0x8c9b8000,4096,49801,----pY,gpumem,texture,1
0x8c9ba000,0x8c9ba000,4096,49800,----pY,gpumem,texture,1
0x8c9bc000,0x8c9bc000,4096,49799,----pY,gpumem,texture,1
0x8c9be000,0x8c9be000,4096,49798,----pY,gpumem,texture,1
0x8ca00000,0x8ca00000,4096,49797,----pY,gpumem,texture,1
0x8ca02000,0x8ca02000,4096,49796,----pY,gpumem,texture,1
0x8ca04000,0x8ca04000,4096,49795,----pY,gpumem,texture,1
0x8ca06000,0x8ca06000,4096,49794,----pY,gpumem,texture,1
0x8ca08000,0x8ca08000,4096,49793,----pY,gpumem,texture,1
0x8ca0a000,0x8ca0a000,4096,49792,----pY,gpumem,texture,1
0x8ca0c000,0x8ca0c000,4096,49791,----pY,gpumem,texture,1
0x8ca0e000,0x8ca0e000,4096,49790,----pY,gpumem,texture,1
0x8ca10000,0x8ca10000,4096,49789,----pY,gpumem,texture,1
0x8ca12000,0x8ca12000,4096,49788,----pY,gpumem,texture,1
0x8ca14000,0x8ca14000,4096,49787,----pY,gpumem,texture,1
0x8ca16000,0x8ca16000,4096,49786,----pY,gpumem,texture,1
0x8ca18000,0x8ca18000,4096,49785,----pY,gpumem,texture,1
0x8ca1a000,0x8ca1a000,4096,49784,----pY,gpumem,texture,1
0x8ca1c000,0x8ca1c000,4096,49783,----pY,gpumem,texture,1
0x8ca1e000,0x8ca1e000,4096,49782,----pY,gpumem,texture,1
0x8ca20000,0x8ca20000,4096,49781,----pY,gpumem,texture,1
0x8ca22000,0x8ca22000,4096,49780,----pY,gpumem,texture,1
0x8ca24000,0x8ca24000,4096,49779,----pY,gpumem,texture,1
0x8ca26000,0x8ca26000,4096,49778,----pY,gpumem,texture,1
0x8ca28000,0x8ca28000,4096,49777,----pY,gpumem,texture,1
0x8ca2a000,0x8ca2a000,4096,49776,----pY,gpumem,texture,1
0x8ca2c000,0x8ca2c000,4096,49775,----pY,gpumem,texture,1
0x8ca2e000,0x8ca2e000,4096,49774,----pY,gpumem,texture,1
0x8ca30000,0x8ca30000,4096,49773,----pY,gpumem,texture,1
0x8ca32000,0x8ca32000,4096,49772,----pY,gpumem,texture,1
0x8ca34000,0x8ca34000,4096,49771,----pY,gpumem,texture,1
0x8ca36000,0x8ca36000,4096,49770,----pY,gpumem,texture,1
0x8ca38000,0x8ca38000,4096,49769,----pY,gpumem,texture,1
0x8ca3a000,0x8ca3a000,4096,49768,----pY,gpumem,texture,1
0x8ca3c000,0x8ca3c000,4096,49767,----pY,gpumem,texture,1
0x8ca3e000,0x8ca3e000,4096,49766,----pY,gpumem,texture,1
0x8ca40000,0x8ca40000,4096,49765,----pY,gpumem,texture,1
0x8ca42000,0x8ca42000,4096,49764,----pY,gpumem,texture,1
0x8ca44000,0x8ca44000,4096,49763,----pY,gpumem,texture,1
